Rep_gene	most_common_function	function_proportion	count_result
fig|632516.3.peg.878|CallaDRAFT_0837	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1795|CallaDRAFT_1725	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	1.0	Counter({'Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)': 12})
fig|632516.3.peg.2346|CallaDRAFT_2255	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1436	Two-component system sensor histidine kinase	0.666666666667	Counter({'Two-component system sensor histidine kinase': 2, 'signal transduction histidine kinase, LytS': 1})
fig|1214564.3.peg.1434	Uracil phosphoribosyltransferase (EC 2.4.2.9)	1.0	Counter({'Uracil phosphoribosyltransferase (EC 2.4.2.9)': 1})
fig|1214564.3.peg.1435	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.325	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.405|CallaDRAFT_0399	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1430	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	1.0	Counter({'Peptidyl-tRNA hydrolase (EC 3.1.1.29)': 12})
fig|1214564.3.peg.1439	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1353|CallaDRAFT_1291	Regulators of stationary/sporulation gene expression	1.0	Counter({'Regulators of stationary/sporulation gene expression': 9})
fig|632518.3.peg.169|Calow_0154	Phosphoprotein phosphatase	0.818181818182	Counter({'Phosphoprotein phosphatase': 9, 'hypothetical protein': 2})
fig|31899.10.peg.294	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632518.3.peg.2035|Calow_1912	Signal transduction histidine kinase CheA	1.0	Counter({'Signal transduction histidine kinase CheA': 5})
fig|1214564.3.peg.1240	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})
fig|1214564.3.peg.1440	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1194|SAMN05216182_1004	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1546|Csac_1393	DNA-binding protein HBsu	1.0	Counter({'DNA-binding protein HBsu': 5})
fig|632292.3.peg.2	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.9	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.8	death-on-curing family protein	1.0	Counter({'death-on-curing family protein': 2})
fig|632348.3.peg.1110|Calkro_1048	ATP/GTP-binding protein	1.0	Counter({'ATP/GTP-binding protein': 4})
fig|1387557.3.peg.1338	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|632518.3.peg.1292	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2167	Nitrogen regulatory protein P-II	1.0	Counter({'Nitrogen regulatory protein P-II': 12})
fig|351627.8.peg.2873|Csac_2658	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.857|Csac_0749	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.1481|Csac_1332	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1.0	Counter({'3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)': 12})
fig|632518.3.peg.2065	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2768	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|351627.8.peg.1588|Csac_1430	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.2658|Calkr_2442	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632292.3.peg.390|Calhy_0357	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.766|SAMN05216182_0609	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.737|SAMN05216182_0580	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.802	Transcription-repair coupling factor	1.0	Counter({'Transcription-repair coupling factor': 11})
fig|1387555.3.peg.1604	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.1605	Glycosyl transferase, family 2	0.75	Counter({'Glycosyl transferase, family 2': 9, 'Glycosyltransferases involved in cell wall biogenesis': 3})
fig|31899.10.peg.369|SAMN05216182_0243	hypothetical protein	0.5	Counter({'hypothetical protein': 2, 'protein of unknown function UPF0236': 2})
fig|1387555.3.peg.1600	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.1601	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	1.0	Counter({'Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)': 12})
fig|1387555.3.peg.1351	Phosphate transport regulator (distant homolog of PhoU)	1.0	Counter({'Phosphate transport regulator (distant homolog of PhoU)': 12})
fig|632516.3.peg.2777	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1979|CallaDRAFT_1910	UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)	1.0	Counter({'UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)': 2})
fig|1387555.3.peg.1608	Methylglyoxal synthase (EC 4.2.3.3)	1.0	Counter({'Methylglyoxal synthase (EC 4.2.3.3)': 12})
fig|1387555.3.peg.1609	Rod shape-determining protein RodA	1.0	Counter({'Rod shape-determining protein RodA': 12})
fig|1387555.3.peg.1359	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	1.0	Counter({'Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)': 12})
fig|632516.3.peg.416	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|31899.10.peg.176|SAMN05216182_0105	Domain of unknown function / Efflux ABC transporter, permease protein	0.846153846154	Counter({'Domain of unknown function / Efflux ABC transporter, permease protein': 11, 'hypothetical protein': 2})
fig|608506.3.peg.2190|COB47_2050	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.419	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.187|SAMN05216182_0112	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.60|Csac_0050	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2958	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2959	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632518.3.peg.2349|Calow_2191	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.258|Calkr_0212	2,4-dienoyl-CoA reductase	1.0	Counter({'2,4-dienoyl-CoA reductase': 3})
fig|1214564.3.peg.1394	Protein of unknown function DUF86, SO_3166 group	1.0	Counter({'Protein of unknown function DUF86, SO_3166 group': 2})
fig|351627.8.peg.1810|Csac_1643	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Adenylylsulfate kinase (EC 2.7.1.25)	1.0	Counter({'Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Adenylylsulfate kinase (EC 2.7.1.25)': 8})
fig|31899.10.peg.713|SAMN05216182_0556	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|632518.3.peg.1432	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2272	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|632348.3.peg.2579|Calkro_2444	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|632335.8.peg.535|Calkr_0476	Ribosome hibernation promoting factor Hpf	1.0	Counter({'Ribosome hibernation promoting factor Hpf': 12})
fig|632292.3.peg.405|Calhy_0368	Helicase loader DnaI	1.0	Counter({'Helicase loader DnaI': 1})
fig|351627.8.peg.743|Csac_0644	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2431|CallaDRAFT_2334	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.3023|SAMN05216182_2760	Cytosine-specific DNA methyltransferase	1.0	Counter({'Cytosine-specific DNA methyltransferase': 3})
fig|632292.3.peg.812|Calhy_0752	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.803|CallaDRAFT_0771	CRISPR-associated protein Cas5	1.0	Counter({'CRISPR-associated protein Cas5': 7})
fig|31899.10.peg.2385|SAMN05216182_2171	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|632516.3.peg.2259|CallaDRAFT_2175	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	1.0	Counter({'2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)': 12})
fig|1387557.3.peg.178	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1214564.3.peg.660	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.983|Calhy_0912	hypothetical protein	0.7	Counter({'hypothetical protein': 7, 'putative membrane protein': 3})
fig|1387557.3.peg.174	DUF324 domain-containing protein	0.666666666667	Counter({'DUF324 domain-containing protein': 2, 'hypothetical protein': 1})
fig|1387557.3.peg.175	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1387557.3.peg.170	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.171	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|351627.8.peg.1855	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1854	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1851	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1859	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|351627.8.peg.1858	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.368|CallaDRAFT_0367	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.418	Two-component response regulator SA14-24	1.0	Counter({'Two-component response regulator SA14-24': 12})
fig|351627.8.peg.2808|Csac_2598	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1743|SAMN05216182_1533	protein of unknown function UPF0236	1.0	Counter({'protein of unknown function UPF0236': 1})
fig|1387555.3.peg.410	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|1387555.3.peg.417	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|1387555.3.peg.414	Abortive infection protein	0.5	Counter({'Abortive infection protein': 1, 'hypothetical protein': 1})
fig|351627.8.peg.223|Csac_0189	Mobile element protein	0.666666666667	Counter({'Mobile element protein': 8, 'Transposase': 3, 'transposase, IS605 OrfB family': 1})
fig|31899.10.peg.1173|SAMN05216182_0985	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.932	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2378	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.827|Calhy_0767	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.15|Calkr_2650	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.718	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.719	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|1387557.3.peg.710	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.823	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.764|SAMN05216182_0607	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.1176|Csac_1043	Programmed cell death toxin YdcE	1.0	Counter({'Programmed cell death toxin YdcE': 12})
fig|632518.3.peg.2131|Calow_1994	ABC-type antimicrobial peptide transport system, ATPase component	1.0	Counter({'ABC-type antimicrobial peptide transport system, ATPase component': 19})
fig|632518.3.peg.1129|Calow_1048	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1603	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})
fig|1214564.3.peg.1602	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})
fig|1387555.3.peg.677	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|1387555.3.peg.676	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.675	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.672	Related to F420H2-dehydrogenase, beta subunit	1.0	Counter({'Related to F420H2-dehydrogenase, beta subunit': 2})
fig|1387555.3.peg.671	Polysaccharide pyruvyl transferase CsaB	1.0	Counter({'Polysaccharide pyruvyl transferase CsaB': 2})
fig|632516.3.peg.2159|CallaDRAFT_2081	FIG00469151: hypothetical protein	1.0	Counter({'FIG00469151: hypothetical protein': 1})
fig|1387555.3.peg.679	Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	0.9	Counter({'Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)': 9, 'DNA adenine methylase (EC 2.1.1.72)': 1})
fig|1387555.3.peg.678	transposase, IS30 family	1.0	Counter({'transposase, IS30 family': 1})
fig|632516.3.peg.2363|CallaDRAFT_2273	UPF0758 family protein	1.0	Counter({'UPF0758 family protein': 12})
fig|632348.3.peg.2572	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1908|CallaDRAFT_1839	ABC-type antimicrobial peptide transport system, permease component	1.0	Counter({'ABC-type antimicrobial peptide transport system, permease component': 2})
fig|632348.3.peg.2570	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2571	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2402|Csac_2220	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2970|Csac_2747	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.299|CallaDRAFT_0299	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	1.0	Counter({'Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)': 12})
fig|632516.3.peg.432|CallaDRAFT_0421	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632348.3.peg.539|Calkro_0508	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1620|Calow_1525	5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	1.0	Counter({"5'-methylthioadenosine phosphorylase (EC 2.4.2.28)": 10})
fig|632518.3.peg.993	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.994	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.995	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.996	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.182|Calow_0164	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.11|Calkr_2647	Metallo-beta-lactamase superfamily	1.0	Counter({'Metallo-beta-lactamase superfamily': 4})
fig|1121259.3.peg.2018	Heat shock protein GrpE	1.0	Counter({'Heat shock protein GrpE': 1})
fig|608506.3.peg.590	Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY	1.0	Counter({'Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY': 1})
fig|1121259.3.peg.2330	Segregation and condensation protein B	1.0	Counter({'Segregation and condensation protein B': 12})
fig|31899.10.peg.3119|SAMN05216182_2845	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|31899.10.peg.27|SAMN05216182_2871	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|632516.3.peg.1945|CallaDRAFT_1875	HDIG domain protein	1.0	Counter({'HDIG domain protein': 12})
fig|632516.3.peg.141|CallaDRAFT_0140	Branched-chain amino acid ABC transporter, ATP-binding protein LivG (TC 3.A.1.4.1)	1.0	Counter({'Branched-chain amino acid ABC transporter, ATP-binding protein LivG (TC 3.A.1.4.1)': 12})
fig|632348.3.peg.728|Calkro_0684	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.933	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.647|Calow_0587	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.99	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1186|CallaDRAFT_1131	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	1.0	Counter({'N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)': 12})
fig|632292.3.peg.543|Calhy_0496	NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B	1.0	Counter({'NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B': 1})
fig|632516.3.peg.1585|CallaDRAFT_1524	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|608506.3.peg.216|COB47_0196	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
fig|632516.3.peg.2433|CallaDRAFT_2336	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632518.3.peg.13|Calow_0013	Peroxiredoxin, Bcp-type (EC 1.11.1.15)	1.0	Counter({'Peroxiredoxin, Bcp-type (EC 1.11.1.15)': 9})
fig|632348.3.peg.98|Calkro_0095	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 3})
fig|632516.3.peg.311	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1121259.3.peg.2487	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.2480	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1074	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1076	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.182|CallaDRAFT_0183	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4) / Ribosomal protein S1 RNA-binding domain	1.0	Counter({'4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4) / Ribosomal protein S1 RNA-binding domain': 1})
fig|31899.10.peg.2956|SAMN05216182_2699	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 4})
fig|632516.3.peg.2757|CallaDRAFT_2677	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
fig|1387555.3.peg.1032	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1031	NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	1.0	Counter({'NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)': 12})
fig|1387555.3.peg.1037	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	1.0	Counter({'Cytochrome c-type biogenesis protein CcdA (DsbD analog)': 12})
fig|632335.8.peg.2868|Calkr_2588	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.1295	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	1.0	Counter({'DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)': 11})
fig|351627.8.peg.2767|Csac_2564	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
